GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jokeFetcher,testex,DateFormatter,45,23,3,1,6,6,3,2,1,2
jokeFetcher,testex,JokeException,4,0,0,0,2,0,1,0,1,0
jokeFetcher,testex,JokeFetcher,36,101,0,6,7,19,2,7,2,4
jokeFetcher,testex,Joke,17,15,0,0,1,6,1,3,1,3
jokeFetcher,testex,Jokes,0,24,0,0,0,8,0,5,0,5
jokeFetcher,testex.jokefetching,ChuckNorris,24,0,0,0,5,0,2,0,2,0
jokeFetcher,testex.jokefetching,Tambal,24,0,0,0,5,0,2,0,2,0
jokeFetcher,testex.jokefetching,EduJoke,24,0,0,0,5,0,2,0,2,0
jokeFetcher,testex.jokefetching,FetcherFactory,152,0,20,0,23,0,17,0,4,0
jokeFetcher,testex.jokefetching,Moma,24,0,0,0,5,0,2,0,2,0
